char,codepoint,name,block
𒄚,U+1211A,CUNEIFORM SIGN GU2 TIMES KAK TIMES IGI GUNU,Cuneiform
𒄛,U+1211B,CUNEIFORM SIGN GU2 TIMES NUN,Cuneiform
𒄜,U+1211C,CUNEIFORM SIGN GU2 TIMES SAL PLUS TUG2,Cuneiform
𒄝,U+1211D,CUNEIFORM SIGN GU2 GUNU,Cuneiform
𒄞,U+1211E,CUNEIFORM SIGN GUD,Cuneiform
𒄟,U+1211F,CUNEIFORM SIGN GUD TIMES A PLUS KUR,Cuneiform
𒄠,U+12120,CUNEIFORM SIGN GUD TIMES KUR,Cuneiform
𒄡,U+12121,CUNEIFORM SIGN GUD OVER GUD LUGAL,Cuneiform
𒄢,U+12122,CUNEIFORM SIGN GUL,Cuneiform
𒄣,U+12123,CUNEIFORM SIGN GUM,Cuneiform
𒄤,U+12124,CUNEIFORM SIGN GUM TIMES SHE,Cuneiform
𒄥,U+12125,CUNEIFORM SIGN GUR,Cuneiform
𒄦,U+12126,CUNEIFORM SIGN GUR7,Cuneiform
𒄧,U+12127,CUNEIFORM SIGN GURUN,Cuneiform
𒄨,U+12128,CUNEIFORM SIGN GURUSH,Cuneiform
𒄩,U+12129,CUNEIFORM SIGN HA,Cuneiform
𒄪,U+1212A,CUNEIFORM SIGN HA TENU,Cuneiform
𒄫,U+1212B,CUNEIFORM SIGN HA GUNU,Cuneiform
𒄬,U+1212C,CUNEIFORM SIGN HAL,Cuneiform
𒄭,U+1212D,CUNEIFORM SIGN HI,Cuneiform
𒄮,U+1212E,CUNEIFORM SIGN HI TIMES ASH,Cuneiform
𒄯,U+1212F,CUNEIFORM SIGN HI TIMES ASH2,Cuneiform
𒄰,U+12130,CUNEIFORM SIGN HI TIMES BAD,Cuneiform
𒄱,U+12131,CUNEIFORM SIGN HI TIMES DISH,Cuneiform
𒄲,U+12132,CUNEIFORM SIGN HI TIMES GAD,Cuneiform
𒄳,U+12133,CUNEIFORM SIGN HI TIMES KIN,Cuneiform
𒄴,U+12134,CUNEIFORM SIGN HI TIMES NUN,Cuneiform
𒄵,U+12135,CUNEIFORM SIGN HI TIMES SHE,Cuneiform
𒄶,U+12136,CUNEIFORM SIGN HI TIMES U,Cuneiform
𒄷,U+12137,CUNEIFORM SIGN HU,Cuneiform
𒄸,U+12138,CUNEIFORM SIGN HUB2,Cuneiform
𒄹,U+12139,CUNEIFORM SIGN HUB2 TIMES AN,Cuneiform
𒄺,U+1213A,CUNEIFORM SIGN HUB2 TIMES HAL,Cuneiform
𒄻,U+1213B,CUNEIFORM SIGN HUB2 TIMES KASKAL,Cuneiform
𒄼,U+1213C,CUNEIFORM SIGN HUB2 TIMES LISH,Cuneiform
